期刊名,出版文献量,综合影响因子,复合影响因子,基金论文比,篇均他引,篇均被引,h指数,引用刊数,总被引频次,篇均引文数
中国图书馆学报,113,5.189,6.358,0.5965,10.5,11.34,20,224,4109,38.47
大学图书馆学报,197,2,2.205,0.3496,5.95,6.32,17,256,3027,20.44
图书情报工作,860,2.283,2.769,0.4865,4.84,5.3,23,563,11818,18.3
情报学报,223,0.958,1.15,0.7463,2.59,3.14,8,139,2215,30.73
图书情报知识,180,2.646,3.263,0.6512,6.29,6.76,16,294,2373,29.13
情报理论与实践,665,1.526,2.145,0.8179,4.54,5.04,19,551,6173,20.86
国家图书馆学刊,163,1.773,2.284,0.5098,4.47,4.8,12,200,1455,17.71
情报杂志,798,1.436,2.073,0.7761,4.23,4.76,18,653,9157,22.5
图书与情报,229,2.205,2.629,0.5773,6.07,6.4,17,297,3145,19.09
情报科学,763,1.246,1.838,0.7218,4.96,5.23,19,713,7019,21.94
图书馆杂志,335,1.451,1.721,0.3527,4.46,4.61,15,302,3070,14.46
图书馆建设,375,1.333,1.532,0.5065,4.29,4.56,16,287,3416,18.37
情报资料工作,195,1.52,1.912,0.5075,3.98,4.49,13,203,2046,19.37
图书馆论坛,475,1.606,1.932,0.4983,4.96,5.32,20,380,4031,18.06
图书馆学研究,710,1.187,1.515,0.6919,3.91,4.18,17,470,5285,19.18
图书馆工作与研究,571,1.33,1.578,0.3565,4.71,4.81,19,408,4044,10.61
档案学研究,282,0.95,1.234,0.589,3.64,3.91,12,179,2159,15.1
档案学通讯,207,0.908,1.275,0.4528,3.47,3.94,11,106,2448,14.68
数据分析与知识发现,229,0.899,1.349,0.6564,3.49,3.85,12,171,2703,21.52
